lagoslakeid,nh4,no2,sampleyear,secchi
211,,,1980,4.929729718918919
211,,,1981,4.621126769014085
211,,,1982,3.6479999960000002
211,,,1983,3.6558823485294116
211,,,1984,3.4578947381578953
211,,,1985,3.5462499999999997
211,,,1986,3.902739715068493
211,,,1987,3.9826666666666664
211,,,1988,4.197260282191781
211,,,1989,3.8041666624999997
211,16.852941176470587,,1990,4.046956523478261
211,,,1991,3.4104895062937066
211,22.523809523809526,,1992,3.6351351297297314
211,18.0,,1993,3.4518181681818185
211,23.275862068965516,,1994,3.563366337623764
211,,,1995,3.8417475718446603
211,,,1996,3.650925925925926
211,,,1997,3.769230776068376
211,,,1998,3.4899999936363626
211,,,1999,4.149137937068965
211,,,2000,3.9571428589285715
211,,,2001,4.2629629583333335
211,,,2002,3.9696969777777777
211,,,2003,4.287619037142856
211,,,2004,4.137719290350879
211,,,2005,3.85045873027523
211,,,2006,3.7920634793650794
211,30.0,,2007,4.0351239694214875
211,,,2008,3.93442622704918
211,,,2009,3.7821138243902435
211,,,2010,3.7067796652542375
38705,,,1975,2.651388888888889
38705,,4.1207692307692305,1976,2.709677419354839
38705,,5.1469696969696965,1977,2.503030303030302
38705,,5.1125,1978,2.986111111111111
38705,,4.023586206896552,1979,2.7933333333333334
38705,,4.645483870967743,1980,2.5000000000000004
38705,,4.075,1981,2.192333333333333
38705,,4.591071428571429,1982,2.1950000000000003
38705,,3.4738445999999996,1983,2.0983870967741933
38705,,4.4900213749999995,1984,2.0703125
38705,,3.95881532051282,1985,2.031578947368421
38705,,4.63029361764706,1986,2.579411764705882
38705,,4.343121212121212,1987,2.6053030303030296
38705,,4.541254029411765,1988,2.25
38705,,4.657878111111112,1989,3.0744444444444436
38705,,4.419406249999999,1990,2.2824999999999998
38705,,5.5334242424242435,1991,2.168484848484848
38705,,4.841694444444444,1992,2.7422222222222223
38705,,5.623444736842105,1993,3.403243243243243
38705,,4.569500000000001,1994,3.3258823529411763
38705,,2.473129736842106,1995,3.8513157894736834
38705,,3.543252484848485,1996,3.3115151515151515
38705,,3.0705883225806447,1997,3.435483870967742
38705,,4.8610079393939385,1998,2.778484848484849
38705,,4.2788894117647045,1999,2.874999999999999
38705,,3.845012195121952,2000,3.060975609756098
38705,,6.855849032258065,2001,3.1968749999999995
38705,,2.6731075,2002,3.3513513513513518
38705,,3.1513029999999995,2003,3.649375
38705,,2.754721351351351,2004,3.0727027027027027
38705,,3.421432743589744,2005,3.971282051282051
38705,,3.5204277096774192,2006,3.1990322580645167
38705,10.0,,2007,3.65
4625,,,1978,2.1
4625,,,1979,1.6
4625,,,1980,2.716666666666667
4625,,,1981,3.1999999999999997
4625,125.57142857142857,,1982,
4625,52.27272727272727,3.0,1983,
4625,43.86666666666667,,1984,
4625,39.6875,,1985,
4625,35.18181818181818,,1986,
4625,78.18181818181819,,1987,
4625,66.72727272727273,,1988,
4625,54.81818181818182,,1989,
4625,31.0,,1990,
4625,24.3,,1991,
4625,45.27272727272727,,1992,
4625,40.6,,1993,
4625,33.45454545454545,,1994,
4625,26.8,,1995,
4625,72.6,,1996,
4625,28.272727272727273,,1997,
4625,35.09090909090909,,1998,
4625,26.09090909090909,,1999,
4625,49.27272727272727,,2000,
4625,36.9,,2001,
4625,37.09090909090909,,2002,
4625,51.63636363636363,,2003,
4625,82.18181818181819,,2004,3.2004
4625,74.9090909090909,,2005,
4625,44.27272727272727,,2006,
