lagoslakeid,summerpud,totalpud,nhd_lat,nhd_long,lake_area_ha,lagosname1,meandepth,maxdepth,state_name,hu12_nlcd2011_pct_11,hu12_nlcd2011_pct_21,hu12_nlcd2011_pct_22,hu12_nlcd2011_pct_23,hu12_nlcd2011_pct_24,hu12_nlcd2011_pct_31,hu12_nlcd2011_pct_41,hu12_nlcd2011_pct_42,hu12_nlcd2011_pct_43,hu12_nlcd2011_pct_52,hu12_nlcd2011_pct_71,hu12_nlcd2011_pct_81,hu12_nlcd2011_pct_82,hu12_nlcd2011_pct_90,hu12_nlcd2011_pct_95
1,7,28,42.547393,-73.174249,114.9470119,CHESHIRE RESERVOIR,,2.7,Massachusetts,2.5665,3.8766,2.0132,1.3457,0.2872,0.1268,58.1677,3.1774,12.6932,0.9086,0.3352,9.1095,0.3247,4.28,0.7876
11,1,3,42.162381,-70.849933,24.60098013,JACOBS POND,,1.5,Massachusetts,4.1133,13.1388,12.5149,4.4102,1.2054,0.1241,16.393,19.8716,3.3288,0.4059,0.7508,1.0341,1.4607,17.0427,4.2058
21,9,24,42.228292,-71.576596,226.4837814,WHITEHALL RESERVOIR,1.8,9.8,Massachusetts,3.1914,10.7877,11.7202,10.1225,2.1104,0.6058,33.4977,5.0345,2.0956,0.7355,0.199,1.7432,1.0572,15.3848,1.7145
31,0,4,42.523444,-71.687102,30.7829841,FORT POND,9.1,13.7,Massachusetts,3.9857,6.1101,9.38,6.3004,1.8123,0.8341,29.9754,14.6364,4.2401,2.2426,0.9015,7.2008,0.5312,10.2492,1.6001
41,5,8,42.062381,-71.349785,95.79519552,LAKE PEARL,3.7,10.4,Massachusetts,2.3266,14.2971,16.2061,7.5057,0.9017,0.779,27.0505,6.8409,2.5729,0.9569,0.2939,3.7771,0.3862,13.9119,2.1934
52,8,13,40.410131,-74.241347,30.54326557,LEFFERTS LAKE,1.585,3.6576,New Jersey,1.2405,21.3524,30.7452,10.772,2.6109,0.0176,17.7896,0.033,0.8042,0.7227,0.1719,0.1719,0.5376,9.829,3.2014
63,0,0,47.763349,-91.608448,75.68277218,AUGUST,,5.5,Minnesota,12.7566,0.6542,0,0,0,0,1.9986,32.8029,15.3088,5.7314,1.2135,0,0,28.0553,1.4786
74,1,1,44.085536,-93.060396,246.7419647,RICE,,1.02,Minnesota,2.6633,4.4881,1.2271,0.314,0.0648,0.0312,1.5346,0.0156,0,0.0393,5.1955,1.9231,79.3811,1.8616,1.2608
87,0,0,44.969157,-92.569712,24.28115706,TWIN LAKES,,,Wisconsin,2.6786,6.6241,2.3182,0.9778,0.4154,0.0046,8.7082,1.0971,0.1033,0.2249,1.8615,35.051,39.1732,0.0528,0.7092
100,0,0,46.325757,-92.861454,8.132145719,UNNAMED,,,Minnesota,3.8459,5.9988,0.7354,0.2617,0.0579,0.0093,22.0634,7.3792,2.2524,5.9258,1.1245,12.7202,6.5211,23.5747,7.5297
110,0,0,45.069953,-94.908048,445.5298198,LITTLE KANDIYOHI,,,Minnesota,13.1742,2.1674,1.1926,0.048,0,0,3.9486,0.0234,0.0445,0.4166,0.8321,7.8903,66.9737,0.6074,2.6812
120,0,0,46.41488,-94.853139,19.3978514,LOVEJOY,,,Minnesota,0.4101,5.1497,0.0272,0.1067,0,0.0691,14.6163,0.6591,0.0188,5.0953,4.2939,23.5745,32.2271,1.6866,12.0655
131,29,34,45.335241,-94.710318,1191.026314,KORONIS (MAIN BASIN),,20,Minnesota,10.992,3.7176,1.314,0.1065,0.0263,0.0031,12.527,0.1509,0.0257,0.1522,3.9863,13.3412,50.1112,1.049,2.497
142,0,0,45.365131,-92.897921,90.96162769,GREEN (LITTLE GREEN),,5,Minnesota,18.266,6.6169,3.6942,1.7975,0.3622,0.0593,14.7296,0.7238,0.1058,0.0526,2.0582,23.5686,17.604,1.5803,8.7809
154,0,0,44.264718,-91.140496,4.821856018,TRUMP LAKE,,,Wisconsin,0.2722,4.1151,0.6368,0.1128,0.0373,0.5883,45.6066,1.1393,0.2564,2.1564,1.3555,5.3569,36.3546,1.212,0.7999
165,0,0,47.027489,-95.583271,93.82957159,WABOOSE,,,Minnesota,15.6332,2.1256,0.0081,0,0,0.006,63.7423,4.3599,0.006,2.2152,1.2617,1.5456,0.0946,4.1122,4.8895
176,0,0,43.507783,-93.472881,190.3186898,STATE LINE,,,Minnesota,2.0635,5.6831,0.5328,0.0955,0.0177,0.0316,0.9863,0,0,0,3.3948,0.7607,84.1641,0.4989,1.7709
187,1,1,48.087446,-91.828214,126.9883124,BOOT,,,Minnesota,13.9552,0.1381,0,0,0,0,3.8138,17.0587,28.1712,6.2405,0.3029,0.0047,0,29.2481,1.0669
198,0,3,44.713283,-71.920209,32.89608556,CENTER,,,Vermont,1.613,1.9409,0.2492,0.0246,0,0,49.4648,13.1567,24.1218,2.9671,0.2033,0.4115,1.2065,4.6096,0.0311
209,14,59,43.730825,-72.911363,302.7348529,CHITTENDEN,,,Vermont,2.3807,3.4073,2.1938,2.4747,0.5697,0.2067,49.7862,13.5382,14.1096,0.6212,0.2696,5.7631,0.1795,4.1486,0.3511
221,0,0,45.238475,-93.426508,14.00665945,GRASS,,,Minnesota,4.7715,22.9874,15.1885,8.9058,2.7328,0,16.9463,1.3091,0.0234,0.2157,1.8736,9.0056,5.8106,0.9134,9.3163
231,0,0,44.731366,-71.981904,6.381190968,BROWN,,,Vermont,1.613,1.9409,0.2492,0.0246,0,0,49.4648,13.1567,24.1218,2.9671,0.2033,0.4115,1.2065,4.6096,0.0311
242,0,0,43.802245,-72.408846,7.221316301,CRESCENT,,,Vermont,0.9681,2.4583,1.1484,0.4828,0.0073,0.0092,37.6048,16.0777,31.0735,1.7554,0.1271,5.8468,1.1753,1.1656,0.0996
253,0,0,43.737288,-73.146228,7.815310718,MUDD,,,Vermont,0.9258,2.8747,1.1811,0.4718,0.2056,0.4907,44.3508,11.1652,7.7163,3.5899,0.3348,11.7989,2.9582,9.3593,2.5767
263,0,0,44.946087,-93.488023,8.230343761,LIBBS,,,Minnesota,29.6183,25.785,13.3527,3.9592,1.8588,0,10.9971,0.5062,0.1063,1.8137,0.6321,7.106,1.1587,0.097,3.009
274,0,0,47.617793,-91.030958,5.544312836,PEARL,,,Minnesota,1.5481,1.9319,0.0982,0,0,0.2565,48.6165,8.379,12.2028,4.4514,0.1619,0,0.1874,22.0462,0.1201
286,1,1,43.648983,-72.942903,5.24636992,RUTLAND CITY,,,Vermont,2.3807,3.4073,2.1938,2.4747,0.5697,0.2067,49.7862,13.5382,14.1096,0.6212,0.2696,5.7631,0.1795,4.1486,0.3511
299,2,2,47.532767,-94.785562,134.9683031,BIG BASS,,,Minnesota,24.0771,13.8083,3.5988,3.4638,1.3463,0.1113,21.0856,6.7148,0.0033,2.1893,0.7765,7.3082,2.0207,7.7245,5.7716
310,1,1,43.613944,-72.38465,67.84244415,NORTH HARTLAND RESERVOIR,,,Vermont,1.5627,5.6894,2.0172,0.6468,0.0735,0.0427,29.9471,28.0726,15.1577,1.0441,0.2495,12.4886,1.1756,1.637,0.1957
321,0,0,47.687692,-95.775153,16.2330705,UNNAMED (JEPPSON),,,Minnesota,4.4308,3.9356,0.5079,0.0156,0.006,0,10.5825,0.9658,0,0.1333,4.9587,19.3055,46.1523,0.3604,8.6456
332,0,0,43.742588,-73.141209,5.976074428,WALKER (HUBDTN),,,Vermont,0.9258,2.8747,1.1811,0.4718,0.2056,0.4907,44.3508,11.1652,7.7163,3.5899,0.3348,11.7989,2.9582,9.3593,2.5767
343,3,4,46.975088,-94.131914,452.5708153,INGUADONA (S. BAY),,23,Minnesota,7.9554,2.7769,1.285,0.2206,0.0432,0,43.2693,4.395,0.5049,5.1319,1.0678,5.3514,0.5151,18.8481,8.6354
358,0,0,47.609995,-93.4443,23.11389676,SPRUCE,,1,Minnesota,11.2794,3.2697,0.4833,0.0637,0,0.0483,20.0921,11.7205,14.1018,6.308,2.3135,0.0689,0.0411,25.8274,4.3822
369,0,0,43.9161,-94.13747,44.0214415,IDA,,,Minnesota,3.6278,4.2711,0.6364,0.3754,0.0153,0.6555,1.5056,0.0267,0,0,1.5445,2.3625,75.8816,8.2239,0.8737
380,0,0,47.166539,-91.870413,10.98197535,SAND,,,Minnesota,5.7875,1.4863,0.0238,0.011,0,0.04,11.4834,15.2034,18.4877,13.0455,3.9338,0.1599,0.011,29.0839,1.2429
393,0,0,46.869888,-94.638301,33.59858789,SOUTH HAYNES,,,Minnesota,10.6023,2.1866,0.4047,0.1157,0.0094,0.1134,52.9059,8.4259,0.1087,6.4165,2.2551,2.9953,0.9913,8.3141,4.1551
406,3,6,42.555909,-71.68478,145.6630326,CATACOONAMUG BROOK/LAKE SHIRLEY,,,Massachusetts,3.9857,6.1101,9.38,6.3004,1.8123,0.8341,29.9754,14.6364,4.2401,2.2426,0.9015,7.2008,0.5312,10.2492,1.6001
418,0,0,43.46829,-72.987965,8.258504312,ELFIN,,,Vermont,0.2342,2.6702,1.3771,0.5856,0.0434,0.2439,33.6677,18.1248,22.9609,0.7378,0.0916,11.5528,0.9273,6.0678,0.7151
428,0,0,46.294725,-95.737681,8.764560714,UNNAMED,,,Minnesota,43.6049,4.7142,0.4755,0.1902,0.0266,0,11.2183,0.5426,0.007,0.2895,4.3226,4.8162,26.997,0.2965,2.499
438,1,1,47.736259,-90.728829,77.95260853,CHRISTINE,,1.8,Minnesota,10.469,1.8779,0,0,0,0,19.7797,14.2813,21.9882,6.5127,0,0,0,24.9662,0.1251
449,0,1,46.377673,-90.007271,187.4205803,MCDONALD LAKE NEAR BESSEMER_ MI,,2.1336,Michigan,3.5917,1.5921,0,0,0,0.0313,44.228,1.0052,3.6218,0.4339,0.7581,0,0,41.1836,3.5543
459,2,2,38.927061,-82.35187,71.64371174,TYCOON LAKE,,6.4,Ohio,1.9244,6.1378,1.0258,0.2529,0.0864,0.2246,31.6534,2.7162,0.1351,0.1587,4.1631,46.1346,5.346,0.033,0.0079
469,0,1,45.888476,-94.689701,52.35465861,MOOSE,3.95,8.8,Minnesota,3.8997,3.567,1.0973,0.1595,0,0.0165,25.8501,0.8292,0,0.099,5.7066,26.8333,25.1571,3.5065,3.2782
480,7,10,42.424922,-83.894321,102.1492555,BASE LINE LAKE NEAR PINCKNEY_ MI,,10.668,Michigan,9.1228,14.8776,8.3081,1.0756,0.2098,0.3911,26.8833,2.1466,1.4654,0.2338,0.7952,9.3241,3.5849,18.3485,3.2332
491,0,1,44.274475,-93.826179,154.900956,JEFFERSON (W JEFF.),,11.6,Minnesota,14.5174,2.7661,1.3925,0.1383,0.0041,0.0181,5.6862,0.0733,0.0058,2.0299,1.092,16.1372,51.8883,0.0931,4.1578
501,0,0,45.047789,-84.78616,42.76102493,LAKE 27 NEAR ELMIRA_ MI,,3.3528,Michigan,0.9105,5.4951,2.8704,1.0441,0.1673,0.2166,51.3266,2.3704,1.4936,2.0948,8.693,0.9903,15.1239,6.6144,0.5889
511,2,4,43.085264,-88.429154,53.1201923,UPPER NASHOTAH LAKE,,16.1544,Wisconsin,9.6205,11.9792,8.4411,2.9257,0.7822,0.035,10.0947,0.2852,1.6046,0.1295,0.231,5.7761,27.8763,13.8113,6.4078
521,0,0,41.351783,-85.673502,4.979822791,BARREL AND A HALF,10.7,14.6,Indiana,27.2744,9.9185,5.8564,1.4953,0.4642,0.4969,14.2392,0.1526,0,0.2352,0.405,0.19,30.2073,2.813,6.252
531,12,24,45.222415,-92.856178,676.2589453,BIG MARINE (MAIN LAKE),,15.24,Minnesota,16.6169,4.8484,0.8859,0.1109,0.0113,0,23.7791,1.5049,0.0826,2.4768,7.246,28.3571,9.6696,0.2229,4.1876
541,3,3,44.822622,-84.476042,42.58897196,SHUPAC LAKE NEAR LOVELLS_ MI,,29.6,Michigan,0.4621,5.6423,1.8955,0.0396,0,0.0396,21.4437,32.2333,4.5542,14.6348,8.3757,0.0206,0.1098,8.7661,1.7827
551,3,4,46.477848,-92.694167,163.0065306,HANGING HORN,,27.4,Minnesota,7.3027,6.8519,1.5632,0.605,0.1873,1.3251,24.9917,2.982,2.3868,6.487,0.484,14.3928,0.2557,23.3095,6.8754
562,3,7,47.711622,-90.657376,290.6927205,CARIBOU,,9.1,Minnesota,13.8714,2.5075,0.0688,0,0.0502,0.013,25.5422,25.2186,15.1568,3.4823,0.759,0,0,13.2408,0.0893
573,19,25,48.046759,-90.50917,300.5499336,POPLAR,,21.3,Minnesota,15.7404,3.3027,0.0343,0.0343,0.0121,0.0404,9.6881,22.6325,20.9145,3.1735,2.7859,0,0,20.9387,0.7025
583,6,9,47.436918,-94.190942,22566.12405,WINNIBIGOSHISH,,21.3,Minnesota,49.4116,1.0288,0.2109,0.0073,0.0016,0.0079,13.8918,5.7553,3.9681,1.2426,0.1424,0.172,0.0397,18.1203,5.9996
594,0,0,45.376667,-93.668924,61.53557066,BIRCH,,5.8,Minnesota,3.2536,8.1524,2.6872,1.6938,0.2258,0.1754,27.821,2.6826,0.0551,0.9897,8.1726,14.331,15.4859,1.9289,12.3452
604,0,0,38.252452,-87.041272,14.55146078,HOLLAND 2,3,4.9,Indiana,1.1109,6.4151,0.3954,0.0395,0.0207,0,29.0422,0.3107,0,0.0264,0.7494,8.507,53.3299,0.0094,0.0433
614,4,4,46.686958,-93.897443,95.48537027,ISLAND,,11.3,Minnesota,6.6572,2.1479,0.1547,7e-04,0,0,43.2518,2.5627,2.2142,5.6574,0.6521,1.0456,0.2933,25.9017,9.4609
624,0,0,46.977493,-92.144858,32.0983197,SUNSHINE,,11.3,Minnesota,33.56,3.4584,0.2713,0.0475,0.0043,0.1322,12.9307,10.3699,9.4161,5.8653,0.6264,1.1724,0.0207,19.9433,2.1815
635,14,14,48.09631,-91.06578,311.4143027,OGISHKEMUNCIE,,21.3,Minnesota,22.5267,0.5563,0.0209,0,0,1.3509,4.6421,6.1882,3.7556,23.9252,17.4455,0,0,11.0261,8.5624
645,4,7,41.627957,-86.749193,229.1511237,PINE (NORTH & SOUTH),4,16.5,Indiana,4.0412,6.5279,12.7462,3.8107,2.2848,0.0287,11.2831,0.4692,0.1722,2.1458,4.3615,6.9764,37.0752,6.6822,1.3949
655,0,0,41.761085,-85.065992,19.38210754,HOG,3.6,7.9,Michigan,3.9035,4.843,2.3618,0.5265,0.0095,0.0473,7.884,0.0177,0.0402,0.11,0.5183,10.8066,51.5329,16.9512,0.4473
667,6,8,43.152582,-72.731951,13.0343458,BURBEE POND,,1.524,Vermont,0.2021,3.1387,0.6568,0.099,0,0.0364,32.0075,23.3392,33.3596,0.9236,0.1233,3.2034,0.1011,2.3101,0.4992
677,0,0,44.127237,-90.462427,10.88830196,UNNAMED T19N R01W S14-03,,3.9624,Wisconsin,3.9972,5.5488,1.7812,0.6708,0.0679,0.3491,35.8596,10.2992,4.3738,3.0791,7.149,3.8969,16.598,3.9503,2.3792
688,2,2,46.716088,-85.072447,110.527251,SHELLDRAKE POND NEAR PARADISE_ MI,,1.9812,Michigan,0.4047,2.7652,0.0893,0,0,0.0407,5.4874,29.4222,1.4855,17.3418,12.3393,0,0,23.8579,6.766
699,26,83,44.212665,-88.460995,485.9627833,LITTLE LAKE BUTTE DES MORTS,,5.4864,Wisconsin,5.3577,9.9857,25.9848,14.4816,6.2961,0.8388,3.3687,0.0311,0.0271,0.0406,0.7878,6.3454,23.0892,2.3371,1.0284
709,44,70,44.328671,-68.363502,379.3982403,LONG POND (MDI),,34.4424,Maine,8.3431,4.0654,2.5876,0.6039,0.0637,0.105,2.9025,48.9804,17.6863,2.9296,1.4778,0,0,8.8313,1.4235
720,2,2,45.631575,-89.627518,103.3394861,ONEIDA LAKE,,10.3632,Wisconsin,7.8181,3.449,0.1485,0.0141,0.0106,0,54.5664,1.012,11.0897,1.9979,1.4611,0.2645,2.6803,12.893,2.5947
731,2,2,43.725926,-85.905386,62.44828281,NICHOLS LAKE NEAR WOODLAND PARK_ MI,4.8768,15.2,Michigan,2.5694,3.2521,0.5158,0.0431,0.0039,0,57.2504,6.5606,3.1008,1.9792,1.9839,0.2955,3.9646,15.5032,2.9777
